sh;site;zone1;zone2;site_name1;site_name2;latitude;longitude;sst_lat;sst_lon;tidestation;albedo;height;slope;aspect;slope.avg;aspect.avg;layer;c.albedo;beddepth;cntct;emiss
Bi;Biarritz;low_sun;_LowSun;Biarritz_low_sun;Biarritz_LowSun;43,4844;-1,5632;43,4844;-1,65;St. Jean de Luz (Socoa), France;0,4;0,5;15;167;15;167;;;;;
Bi;Biarritz;low_shade;_LowShade;Biarritz_low_shade;Biarritz_LowShade;43,4844;-1,5632;43,4844;-1,65;St. Jean de Luz (Socoa), France;0,4;0,5;6;30;6;30;;;;;
Rn;Royan;high_sun;_TopSun;Royan_high_sun;Royan_TopSun;45,6256;-1,0264;45,6256;-1,15;Gironde River: Royan, France;0,4;2,5;37;168;37;168;;;;;
Rn;Royan;high_shade;_TopShade;Royan_high_shade;Royan_TopShade;45,6256;-1,0264;45,6256;-1,15;Gironde River: Royan, France;0,4;2,5;10;358;10;358;;;;;
Rn;Royan;mid_sun;_MidSun;Royan_mid_sun;Royan_MidSun;45,6256;-1,0264;45,6256;-1,15;Gironde River: Royan, France;0,4;1,5;38;175;38;175;;;;;
Rn;Royan;mid_shade;_MidShade;Royan_mid_shade;Royan_MidShade;45,6256;-1,0264;45,6256;-1,15;Gironde River: Royan, France;0,4;1,5;10;332;10;332;;;;;
Rn;Royan;low_sun;_LowSun;Royan_low_sun;Royan_LowSun;45,6256;-1,0264;45,6256;-1,15;Gironde River: Royan, France;0,4;0,5;45;187;45;187;;;;;
Rn;Royan;low_shade;_LowShade;Royan_low_shade;Royan_LowShade;45,6256;-1,0264;45,6256;-1,15;Gironde River: Royan, France;0,4;0,5;14;349;14;349;;;;;
Cc;LeCroisic;high_sun;_TopSun;LeCroisic_high_sun;LeCroisic_TopSun;47,2899;-2,5424;47,2;-2,6;Le Croisic, France;0,4;2,5;35;162;35;162;;;;;
Cc;LeCroisic;high_shade;_TopShade;LeCroisic_high_shade;LeCroisic_TopShade;47,2899;-2,5424;47,2;-2,6;Le Croisic, France;0,4;2,5;7;342;7;342;;;;;
Cc;LeCroisic;mid_sun;_MidSun;LeCroisic_mid_sun;LeCroisic_MidSun;47,2899;-2,5424;47,2;-2,6;Le Croisic, France;0,4;1,5;20;157;20;157;;;;;
Cc;LeCroisic;mid_shade;_MidShade;LeCroisic_mid_shade;LeCroisic_MidShade;47,2899;-2,5424;47,2;-2,6;Le Croisic, France;0,4;1,5;7;333;7;333;;;;;
Cc;LeCroisic;low_sun;_LowSun;LeCroisic_low_sun;LeCroisic_LowSun;47,2899;-2,5424;47,2;-2,6;Le Croisic, France;0,4;0,5;26;173;26;173;;;;;
Cc;LeCroisic;low_shade;_LowShade;LeCroisic_low_shade;LeCroisic_LowShade;47,2899;-2,5424;47,2;-2,6;Le Croisic, France;0,4;0,5;19;344;19;344;;;;;
La;Landunvez;high_sun;_TopSun;Landunvez_high_sun;Landunvez_TopSun;48,5431;-4,7514;48,5431;-4,9;L%Aberbenoit Entr, France;0,4;2,5;21;188;21;188;;;;;
La;Landunvez;high_shade;_TopShade;Landunvez_high_shade;Landunvez_TopShade;48,5431;-4,7514;48,5431;-4,9;L%Aberbenoit Entr, France;0,4;2,5;-3;360;-3;360;;;;;
La;Landunvez;mid_sun;_MidSun;Landunvez_mid_sun;Landunvez_MidSun;48,5431;-4,7514;48,5431;-4,9;L%Aberbenoit Entr, France;0,4;1,5;33;163;33;163;;;;;
La;Landunvez;mid_shade;_MidShade;Landunvez_mid_shade;Landunvez_MidShade;48,5431;-4,7514;48,5431;-4,9;L%Aberbenoit Entr, France;0,4;1,5;3;358;3;358;;;;;
La;Landunvez;low_sun;_LowSun;Landunvez_low_sun;Landunvez_LowSun;48,5431;-4,7514;48,5431;-4,9;L%Aberbenoit Entr, France;0,4;0,5;28;180;28;180;;;;;
La;Landunvez;low_shade;_LowShade;Landunvez_low_shade;Landunvez_LowShade;48,5431;-4,7514;48,5431;-4,9;L%Aberbenoit Entr, France;0,4;0,5;-3;357;-3;357;;;;;
We;Wembury;high_sun;_TopSun;Wembury_high_sun;Wembury_TopSun;50,3134;-4,1071;50,2;-4,1071;Plymouth (Devonport), England;0,4;2,5;48;178;48;178;;;;;
We;Wembury;high_shade;_TopShade;Wembury_high_shade;Wembury_TopShade;50,3134;-4,1071;50,2;-4,1071;Plymouth (Devonport), England;0,4;2,5;-4;357;-4;357;;;;;
We;Wembury;mid_sun;_MidSun;Wembury_mid_sun;Wembury_MidSun;50,3134;-4,1071;50,2;-4,1071;Plymouth (Devonport), England;0,4;1,5;55;178;55;178;;;;;
We;Wembury;mid_shade;_MidShade;Wembury_mid_shade;Wembury_MidShade;50,3134;-4,1071;50,2;-4,1071;Plymouth (Devonport), England;0,4;1,5;-10;325;-10;325;;;;;
We;Wembury;low_sun;_LowSun;Wembury_low_sun;Wembury_LowSun;50,3134;-4,1071;50,2;-4,1071;Plymouth (Devonport), England;0,4;0,5;37;145;37;145;;;;;
We;Wembury;low_shade;_LowShade;Wembury_low_shade;Wembury_LowShade;50,3134;-4,1071;50,2;-4,1071;Plymouth (Devonport), England;0,4;0,5;-20;355;-20;355;;;;;
An;IAnglesey;high_sun;_TopSun;IAnglesey_high_sun;IAnglesey_TopSun;53,3194;-4,6616;53,4;-4,75;Holyhead, Wales;0,4;2,5;51;175;51;175;;;;;
An;IAnglesey;high_shade;_TopShade;IAnglesey_high_shade;IAnglesey_TopShade;53,3194;-4,6616;53,4;-4,75;Holyhead, Wales;0,4;2,5;15;358;15;358;;;;;
An;IAnglesey;mid_sun;_MidSun;IAnglesey_mid_sun;IAnglesey_MidSun;53,3194;-4,6616;53,4;-4,75;Holyhead, Wales;0,4;1,5;49;159;49;159;;;;;
An;IAnglesey;mid_shade;_MidShade;IAnglesey_mid_shade;IAnglesey_MidShade;53,3194;-4,6616;53,4;-4,75;Holyhead, Wales;0,4;1,5;4;332;4;332;;;;;
An;IAnglesey;low_sun;_LowSun;IAnglesey_low_sun;IAnglesey_LowSun;53,3194;-4,6616;53,4;-4,75;Holyhead, Wales;0,4;0,5;62;213;62;213;;;;;
An;IAnglesey;low_shade;_LowShade;IAnglesey_low_shade;IAnglesey_LowShade;53,3194;-4,6616;53,4;-4,75;Holyhead, Wales;0,4;0,5;3;340;3;340;;;;;
Sc;Scairn;high_sun;_TopSun;Scairn_high_sun;Scairn_TopSun;54,9721;-5,1796;54,9721;-5,25;Portpatrick, Scotland;0,4;2,5;4;238;4;238;;;;;
Sc;Scairn;high_shade;_TopShade;Scairn_high_shade;Scairn_TopShade;54,9721;-5,1796;54,9721;-5,25;Portpatrick, Scotland;0,4;2,5;17;310;17;310;;;;;
Sc;Scairn;mid_sun;_MidSun;Scairn_mid_sun;Scairn_MidSun;54,9721;-5,1796;54,9721;-5,25;Portpatrick, Scotland;0,4;1,5;1;118;1;118;;;;;
Sc;Scairn;mid_shade;_MidShade;Scairn_mid_shade;Scairn_MidShade;54,9721;-5,1796;54,9721;-5,25;Portpatrick, Scotland;0,4;1,5;29;310;29;310;;;;;
Sc;Scairn;low_sun;_LowSun;Scairn_low_sun;Scairn_LowSun;54,9721;-5,1796;54,9721;-5,25;Portpatrick, Scotland;0,4;0,5;-3;2;-3;2;;;;;
Sc;Scairn;low_shade;_LowShade;Scairn_low_shade;Scairn_LowShade;54,9721;-5,1796;54,9721;-5,25;Portpatrick, Scotland;0,4;0,5;10;190;10;190;;;;;
Mc;MCastle;high_sun;_TopSun;MCastle_high_sun;MCastle_TopSun;52,1257;-10,11;52;-10,35;Dingle Harbor, Ireland;0,4;2,5;0;222;0;222;;;;;
Mc;MCastle;high_shade;_TopShade;MCastle_high_shade;MCastle_TopShade;52,1257;-10,11;52;-10,35;Dingle Harbor, Ireland;0,4;2,5;22;65;22;65;;;;;
Mc;MCastle;mid_sun;_MidSun;MCastle_mid_sun;MCastle_MidSun;52,1257;-10,11;52;-10,35;Dingle Harbor, Ireland;0,4;1,5;-9;320;-9;320;;;;;
Mc;MCastle;mid_shade;_MidShade;MCastle_mid_shade;MCastle_MidShade;52,1257;-10,11;52;-10,35;Dingle Harbor, Ireland;0,4;1,5;48;47;48;47;;;;;
Mc;MCastle;low_sun;_LowSun;MCastle_low_sun;MCastle_LowSun;52,1257;-10,11;52;-10,35;Dingle Harbor, Ireland;0,4;0,5;1;304;1;304;;;;;
Mc;MCastle;low_shade;_LowShade;MCastle_low_shade;MCastle_LowShade;52,1257;-10,11;52;-10,35;Dingle Harbor, Ireland;0,4;0,5;56;307;56;307;;;;;
Em;Emlagh;high_sun;_TopSun;Emlagh_high_sun;Emlagh_TopSun;53,7511;-9,9067;53,7511;-10,5;Inishraher, Westport Bay, Ireland;0,4;2,5;-13;334;-13;334;;;;;
Em;Emlagh;high_shade;_TopShade;Emlagh_high_shade;Emlagh_TopShade;53,7511;-9,9067;53,7511;-10,5;Inishraher, Westport Bay, Ireland;0,4;2,5;21;170;21;170;;;;;
Em;Emlagh;mid_sun;_MidSun;Emlagh_mid_sun;Emlagh_MidSun;53,7511;-9,9067;53,7511;-10,5;Inishraher, Westport Bay, Ireland;0,4;1,5;-7;353;-7;353;;;;;
Em;Emlagh;mid_shade;_MidShade;Emlagh_mid_shade;Emlagh_MidShade;53,7511;-9,9067;53,7511;-10,5;Inishraher, Westport Bay, Ireland;0,4;1,5;35;53;35;53;;;;;
Em;Emlagh;low_sun;_LowSun;Emlagh_low_sun;Emlagh_LowSun;53,7511;-9,9067;53,7511;-10,5;Inishraher, Westport Bay, Ireland;0,4;0,5;8;343;8;343;;;;;
Em;Emlagh;low_shade;_LowShade;Emlagh_low_shade;Emlagh_LowShade;53,7511;-9,9067;53,7511;-10,5;Inishraher, Westport Bay, Ireland;0,4;0,5;30;163;30;163;;;;;
